GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
establishment of petal orientation (GO:0048498),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"negative regulation of DNA-templated transcription, termination (GO:0060567)",1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
seed growth (GO:0080112),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of cell fate determination (GO:1905933),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
sporopollenin biosynthetic process (GO:0080110),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
trivalent inorganic cation transport (GO:0072512),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
D-gluconate metabolic process (GO:0019521),3,0,0.96,-, < 0.01,1,1,3,0.97,+,3.09,0.161,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
aldonic acid metabolic process (GO:0019520),3,0,0.96,-, < 0.01,1,1,3,0.97,+,3.09,0.161,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
sucrose mediated signaling (GO:0009745),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
RNA destabilization (GO:0050779),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
style development (GO:0048479),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
replication fork protection (GO:0048478),5,0,1.61,-, < 0.01,0.345,1,0,1.62,-, < 0.01,0.344,1,0,0.89,-, < 0.01,1,1,0,2.99,-, < 0.01,0.165,1
triglyceride homeostasis (GO:0070328),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to benomyl (GO:1901561),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
L-methionine salvage from methylthioadenosine (GO:0019509),5,0,1.61,-, < 0.01,0.345,1,3,1.62,+,1.85,0.414,1,0,0.89,-, < 0.01,1,1,3,2.99,+,1,1,1
flower calyx development (GO:0048464),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
cyanide catabolic process (GO:0019500),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
carpel formation (GO:0048462),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
flower structural organization (GO:0048461),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
detection of ethylene stimulus (GO:0009727),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
regulation of phosphatidate phosphatase activity (GO:1903730),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
detection of cytokinin stimulus (GO:0009722),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
floral whorl morphogenesis (GO:0048457),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
sepal formation (GO:0048453),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
petal formation (GO:0048451),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
cellular response to hydrogen peroxide (GO:0070301),7,0,2.25,-, < 0.01,0.206,1,5,2.27,+,2.21,0.181,1,0,1.25,-, < 0.01,0.604,1,5,4.19,+,1.19,0.772,1
lignin catabolic process (GO:0046274),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
phenylpropanoid catabolic process (GO:0046271),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
sepal morphogenesis (GO:0048447),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
sepal development (GO:0048442),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
nitrotoluene catabolic process (GO:0046263),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
trinitrotoluene catabolic process (GO:0046260),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
flower morphogenesis (GO:0048439),4,0,1.29,-, < 0.01,0.578,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,0,2.39,-, < 0.01,0.304,1
positive regulation of production of siRNA involved in RNA interference (GO:1903705),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
"2,4,6-trinitrotoluene catabolic process (GO:0046256)",2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cell death in response to hydrogen peroxide (GO:0036474),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
microtubule-based transport (GO:0099111),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
response to maltose (GO:0034286),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
ether biosynthetic process (GO:1901503),3,0,0.96,-, < 0.01,1,1,3,0.97,+,3.09,0.161,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
indolalkylamine catabolic process (GO:0046218),3,0,0.96,-, < 0.01,1,1,2,0.97,+,2.06,0.602,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
negative regulation of nuclease activity (GO:0032074),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
cyanide biosynthetic process (GO:0046202),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"regulation of defense response to fungus, incompatible interaction (GO:2000072)",2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
snoRNA splicing (GO:0034247),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of nuclease activity (GO:0032069),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of translation in response to stress (GO:0032055),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
tRNA thio-modification (GO:0034227),3,0,0.96,-, < 0.01,1,1,3,0.97,+,3.09,0.161,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
cardiolipin biosynthetic process (GO:0032049),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
cardiolipin metabolic process (GO:0032048),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
mitochondrial DNA metabolic process (GO:0032042),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of G1/S transition of mitotic cell cycle (GO:2000045),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of double-strand break repair via homologous recombination (GO:2000042),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of chromatin assembly or disassembly (GO:0045799),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
positive regulation of cell size (GO:0045793),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
regulation of stem cell division (GO:2000035),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of cell size (GO:0045792),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of pyruvate dehydrogenase activity (GO:1904183),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of pyruvate dehydrogenase activity (GO:1904182),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
glycolipid translocation (GO:0034203),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
detoxification of cobalt ion (GO:0010299),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to magnesium ion (GO:0032026),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to cobalt ion (GO:0032025),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of immune effector process (GO:0002698),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
regulation of proanthocyanidin biosynthetic process (GO:2000029),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
regulation of endosperm development (GO:2000014),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
positive regulation of TOR signaling (GO:0032008),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
regulation of TOR signaling (GO:0032006),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
respiratory burst involved in defense response (GO:0002679),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
detoxification of copper ion (GO:0010273),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
negative regulation of protein localization to cell surface (GO:2000009),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
prosthetic group metabolic process (GO:0051189),4,0,1.29,-, < 0.01,0.578,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
box H/ACA snoRNA 3'-end processing (GO:0000495),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of protein localization to cell surface (GO:2000008),3,0,0.96,-, < 0.01,1,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,0,1.79,-, < 0.01,0.297,1
box C/D snoRNA 3'-end processing (GO:0000494),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
box H/ACA snoRNP assembly (GO:0000493),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of cellular amino acid metabolic process (GO:0045764),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
box C/D snoRNP assembly (GO:0000492),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
small nucleolar ribonucleoprotein complex assembly (GO:0000491),5,0,1.61,-, < 0.01,0.345,1,3,1.62,+,1.85,0.414,1,0,0.89,-, < 0.01,1,1,3,2.99,+,1,1,1
megasporocyte differentiation (GO:1904159),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of DNA damage checkpoint (GO:2000001),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
endodermal cell differentiation (GO:0035987),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
myo-inositol hexakisphosphate biosynthetic process (GO:0010264),6,0,1.93,-, < 0.01,0.347,1,2,1.94,+,1.03,1,1,0,1.07,-, < 0.01,0.6,1,2,3.59,-,0.56,0.718,1
cellular stress response to acidic pH (GO:1990451),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)",3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
maintenance of DNA repeat elements (GO:0043570),7,0,2.25,-, < 0.01,0.206,1,1,2.27,-,0.44,0.689,1,0,1.25,-, < 0.01,0.604,1,1,4.19,-,0.24,0.272,1
nectary development (GO:0010254),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",10,0,3.22,-, < 0.01,0.132,1,1,3.24,-,0.31,0.314,1,0,1.78,-, < 0.01,0.377,1,1,5.98,-,0.17,0.0626,1
endonucleolytic cleavage involved in rRNA processing (GO:0000478),11,0,3.54,-, < 0.01,0.0767,1,1,3.56,-,0.28,0.315,1,0,1.96,-, < 0.01,0.389,1,1,6.58,-,0.15,0.0387,1
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)",3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
detection of phosphate ion (GO:0010247),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
ent-kaurene oxidation to kaurenoic acid (GO:0010241),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of DNA repair (GO:0045738),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)",1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
respiratory burst (GO:0045730),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
anther wall tapetum cell fate specification (GO:0010234),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
miRNA transport (GO:1990428),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
mitotic recombination-dependent replication fork processing (GO:1990426),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
wybutosine biosynthetic process (GO:0031591),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
snoRNA guided rRNA pseudouridine synthesis (GO:0000454),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
wybutosine metabolic process (GO:0031590),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
negative regulation of gluconeogenesis (GO:0045721),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
molybdopterin cofactor metabolic process (GO:0043545),4,0,1.29,-, < 0.01,0.578,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
response to lithium ion (GO:0010226),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of vernalization response (GO:0010220),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)",1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",5,0,1.61,-, < 0.01,0.345,1,1,1.62,-,0.62,1,1,0,0.89,-, < 0.01,1,1,1,2.99,-,0.33,0.421,1
chaperone-mediated protein complex assembly (GO:0051131),6,0,1.93,-, < 0.01,0.347,1,5,1.94,+,2.57,0.152,1,1,1.07,-,0.94,1,1,5,3.59,+,1.39,0.757,1
regulation of raffinose metabolic process (GO:0080091),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
regulation of vernalization response (GO:0010219),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
toluene-containing compound catabolic process (GO:0072491),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
toluene-containing compound metabolic process (GO:0072490),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
non-photoreactive DNA repair (GO:0010213),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
G2 DNA damage checkpoint (GO:0031572),4,0,1.29,-, < 0.01,0.578,1,0,1.3,-, < 0.01,0.578,1,0,0.71,-, < 0.01,1,1,0,2.39,-, < 0.01,0.304,1
RNA polymerase II preinitiation complex assembly (GO:0051123),6,0,1.93,-, < 0.01,0.347,1,1,1.94,-,0.51,1,1,0,1.07,-, < 0.01,0.6,1,1,3.59,-,0.28,0.268,1
cyanide metabolic process (GO:0019499),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,1,1.79,-,0.56,1,1
RNA import into mitochondrion (GO:0035927),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
arginine catabolic process to proline (GO:0019493),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to very low fluence red light stimulus (GO:0010203),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
response to low fluence red light stimulus (GO:0010202),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
response to continuous far red light stimulus by the high-irradiance response system (GO:0010201),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
mitophagy (GO:0000423),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
autophagy of mitochondrion (GO:0000422),12,0,3.86,-, < 0.01,0.0474,1,8,3.89,+,2.06,0.119,1,0,2.14,-, < 0.01,0.234,1,8,7.18,+,1.11,0.82,1
positive regulation of response to endoplasmic reticulum stress (GO:1905898),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
"regulation of DNA-templated transcription, termination (GO:0031554)",1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
integument development (GO:0080060),5,0,1.61,-, < 0.01,0.345,1,3,1.62,+,1.85,0.414,1,0,0.89,-, < 0.01,1,1,3,2.99,+,1,1,1
positive regulation of anthocyanin biosynthetic process (GO:0031542),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
sepal vascular tissue pattern formation (GO:0080057),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
petal vascular tissue pattern formation (GO:0080056),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
response to phenylalanine (GO:0080053),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to histidine (GO:0080052),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of anthocyanin metabolic process (GO:0031539),4,0,1.29,-, < 0.01,0.578,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,1,2.39,-,0.42,0.657,1
plus-end directed microtubule sliding (GO:0031535),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
methionine catabolic process via 2-oxobutanoate (GO:0019458),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of cellular response to phosphate starvation (GO:0080040),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
"9,9'-di-cis-zeta-carotene desaturation to 7,9,7',9'-tetra-cis-lycopene (GO:0052889)",1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
endoderm development (GO:0007492),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
positive regulation of cytokinin-activated signaling pathway (GO:0080038),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of cytokinin-activated signaling pathway (GO:0080037),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
