GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
multicellular organismal water homeostasis (GO:0050891),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
urea metabolic process (GO:0019627),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of body fluid levels (GO:0050878),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
GDP-L-fucose metabolic process (GO:0046368),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
sporocyte differentiation (GO:0048533),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
strigolactone biosynthetic process (GO:1901601),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
strigolactone metabolic process (GO:1901600),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
mRNA cleavage involved in gene silencing (GO:0098795),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of histone H3-K27 methylation (GO:0061085),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,3,5.1,-,0.59,0.555,1,0,0.09,-, < 0.01,1,1
positive regulation of response to nutrient levels (GO:0032109),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
positive regulation of response to extracellular stimulus (GO:0032106),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
negative regulation of DNA-dependent DNA replication (GO:2000104),12,4,7.18,-,0.56,0.44,1,3,4.3,-,0.7,0.772,1,2,6.8,-,0.29,0.101,1,0,0.12,-, < 0.01,1,1
negative regulation of ethylene biosynthetic process (GO:0010366),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
sodium ion import across plasma membrane (GO:0098719),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
shoot axis formation (GO:0010346),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,5,5.1,-,0.98,1,1,0,0.09,-, < 0.01,1,1
RNA virus induced gene silencing (GO:0051214),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
galacturonate metabolic process (GO:0019586),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
lytic vacuole organization (GO:0080171),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
fatty acid transmembrane transport (GO:1902001),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of asymmetric cell division (GO:0009786),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
pyrimidine-containing compound transmembrane transport (GO:0072531),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
regulation of viral process (GO:0050792),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
secondary growth (GO:0080117),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
fatty acid derivative transport (GO:1901571),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
proton export across plasma membrane (GO:0120029),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of seed dormancy process (GO:2000033),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,5,5.1,-,0.98,1,1,0,0.09,-, < 0.01,1,1
regulation of adaxial/abaxial pattern formation (GO:2000011),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,1,0.03,+,33.18,0.0392,1
myo-inositol hexakisphosphate biosynthetic process (GO:0010264),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
negative regulation of sulfur metabolic process (GO:0051175),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)",3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)",3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
response to low fluence blue light stimulus by blue low-fluence system (GO:0010244),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
secondary shoot formation (GO:0010223),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,5,5.1,-,0.98,1,1,0,0.09,-, < 0.01,1,1
positive regulation of vernalization response (GO:0010220),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
negative regulation of fatty acid biosynthetic process (GO:0045717),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of vernalization response (GO:0010219),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
cyanide metabolic process (GO:0019499),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
positive regulation of cellular response to phosphate starvation (GO:0080040),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
negative regulation of cytokinin-activated signaling pathway (GO:0080037),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
mRNA methylation (GO:0080009),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,1,3.4,-,0.29,0.434,1,0,0.06,-, < 0.01,1,1
sulfate reduction (GO:0019419),3,1,1.79,-,0.56,1,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,2,0.03,+,66.36,0.000963,1
purine ribonucleoside catabolic process (GO:0046130),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,1,0.03,+,33.18,0.0392,1
inosine metabolic process (GO:0046102),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,1,0.03,+,33.18,0.0392,1
histone H3-K27 trimethylation (GO:0098532),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
spliceosomal complex disassembly (GO:0000390),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
red light signaling pathway (GO:0010161),6,2,3.59,-,0.56,0.718,1,3,2.15,+,1.39,0.706,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
abaxial cell fate specification (GO:0010158),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
negative regulation of olefin biosynthetic process (GO:1900912),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
vesicle targeting (GO:0006903),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,1,3.4,-,0.29,0.434,1,0,0.06,-, < 0.01,1,1
negative regulation of olefin metabolic process (GO:1900909),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
generation of catalytic spliceosome for first transesterification step (GO:0000349),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
positive regulation of abscisic acid biosynthetic process (GO:0010116),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
negative regulation of photomorphogenesis (GO:0010100),12,4,7.18,-,0.56,0.44,1,4,4.3,-,0.93,1,1,5,6.8,-,0.74,0.624,1,0,0.12,-, < 0.01,1,1
N-terminal peptidyl-methionine acetylation (GO:0017196),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
detection of gravity (GO:0009590),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
lactone biosynthetic process (GO:1901336),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
lactone metabolic process (GO:1901334),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
nuclear chromosome segregation (GO:0098813),79,26,47.24,-,0.55,0.00824,1,15,28.33,-,0.53,0.019,1,24,44.78,-,0.54,0.0072,0.761,0,0.79,-, < 0.01,1,1
meiotic cell cycle process (GO:1903046),119,39,71.16,-,0.55,0.000902,0.644,23,42.68,-,0.54,0.00533,0.609,42,67.46,-,0.62,0.0082,0.709,0,1.2,-, < 0.01,0.635,1
double-strand break repair (GO:0006302),98,32,58.6,-,0.55,0.00256,0.913,13,35.14,-,0.37,0.000208,0.0915,25,55.55,-,0.45,0.000153,0.0793,0,0.98,-, < 0.01,1,1
regulation of DNA recombination (GO:0000018),25,8,14.95,-,0.54,0.149,1,5,8.97,-,0.56,0.301,1,10,14.17,-,0.71,0.384,1,0,0.25,-, < 0.01,1,1
ATP-dependent chromatin remodeling (GO:0043044),22,7,13.16,-,0.53,0.179,1,3,7.89,-,0.38,0.116,1,8,12.47,-,0.64,0.344,1,0,0.22,-, < 0.01,1,1
regulation of DNA repair (GO:0006282),22,7,13.16,-,0.53,0.179,1,4,7.89,-,0.51,0.267,1,7,12.47,-,0.56,0.245,1,0,0.22,-, < 0.01,1,1
chromosome organization involved in meiotic cell cycle (GO:0070192),41,13,24.52,-,0.53,0.0481,1,8,14.7,-,0.54,0.143,1,12,23.24,-,0.52,0.0446,1,0,0.41,-, < 0.01,1,1
nuclear DNA replication (GO:0033260),16,5,9.57,-,0.52,0.261,1,1,5.74,-,0.17,0.0564,1,1,9.07,-,0.11,0.00926,0.724,0,0.16,-, < 0.01,1,1
regulation of protein-containing complex disassembly (GO:0043244),13,4,7.77,-,0.51,0.318,1,2,4.66,-,0.43,0.381,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
double-strand break repair via nonhomologous end joining (GO:0006303),13,4,7.77,-,0.51,0.318,1,2,4.66,-,0.43,0.381,1,3,7.37,-,0.41,0.195,1,0,0.13,-, < 0.01,1,1
meiotic nuclear division (GO:0140013),82,25,49.04,-,0.51,0.0025,0.954,15,29.41,-,0.51,0.0147,1,30,46.48,-,0.65,0.0385,1,0,0.82,-, < 0.01,1,1
meiotic cell cycle (GO:0051321),128,39,76.54,-,0.51,0.000144,0.165,23,45.9,-,0.5,0.00151,0.287,42,72.56,-,0.58,0.00169,0.403,0,1.29,-, < 0.01,0.641,1
cell fate specification (GO:0001708),23,7,13.75,-,0.51,0.132,1,5,8.25,-,0.61,0.393,1,9,13.04,-,0.69,0.462,1,1,0.23,+,4.33,0.213,1
anatomical structure homeostasis (GO:0060249),30,9,17.94,-,0.5,0.0693,1,5,10.76,-,0.46,0.125,1,7,17.01,-,0.41,0.0382,1,0,0.3,-, < 0.01,1,1
mitotic G2/M transition checkpoint (GO:0044818),10,3,5.98,-,0.5,0.394,1,2,3.59,-,0.56,0.743,1,3,5.67,-,0.53,0.399,1,0,0.1,-, < 0.01,1,1
negative regulation of cell cycle G2/M phase transition (GO:1902750),10,3,5.98,-,0.5,0.394,1,2,3.59,-,0.56,0.743,1,3,5.67,-,0.53,0.399,1,0,0.1,-, < 0.01,1,1
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),10,3,5.98,-,0.5,0.394,1,2,3.59,-,0.56,0.743,1,3,5.67,-,0.53,0.399,1,0,0.1,-, < 0.01,1,1
regulation of auxin metabolic process (GO:0090354),10,3,5.98,-,0.5,0.394,1,5,3.59,+,1.39,0.561,1,4,5.67,-,0.71,0.782,1,1,0.1,+,9.95,0.104,1
negative regulation of gene silencing (GO:0060969),20,6,11.96,-,0.5,0.157,1,2,7.17,-,0.28,0.0874,1,7,11.34,-,0.62,0.32,1,0,0.2,-, < 0.01,1,1
ncRNA transcription (GO:0098781),10,3,5.98,-,0.5,0.394,1,2,3.59,-,0.56,0.743,1,3,5.67,-,0.53,0.399,1,0,0.1,-, < 0.01,1,1
DNA demethylation (GO:0080111),10,3,5.98,-,0.5,0.394,1,1,3.59,-,0.28,0.308,1,2,5.67,-,0.35,0.232,1,0,0.1,-, < 0.01,1,1
tricarboxylic acid metabolic process (GO:0072350),10,3,5.98,-,0.5,0.394,1,3,3.59,-,0.84,1,1,4,5.67,-,0.71,0.782,1,0,0.1,-, < 0.01,1,1
DNA recombination (GO:0006310),120,35,71.76,-,0.49,8.29E-05,0.158,16,43.03,-,0.37,3.54E-05,0.0289,36,68.02,-,0.53,0.000561,0.267,0,1.21,-, < 0.01,0.635,1
negative regulation of chromatin organization (GO:1905268),21,6,12.56,-,0.48,0.114,1,2,7.53,-,0.27,0.0584,1,7,11.9,-,0.59,0.244,1,0,0.21,-, < 0.01,1,1
positive regulation of ion transport (GO:0043270),7,2,4.19,-,0.48,0.498,1,1,2.51,-,0.4,0.69,1,3,3.97,-,0.76,1,1,0,0.07,-, < 0.01,1,1
negative regulation of protein-containing complex disassembly (GO:0043242),7,2,4.19,-,0.48,0.498,1,0,2.51,-, < 0.01,0.201,1,4,3.97,+,1.01,1,1,0,0.07,-, < 0.01,1,1
negative regulation of peptidyl-lysine acetylation (GO:2000757),7,2,4.19,-,0.48,0.498,1,0,2.51,-, < 0.01,0.201,1,2,3.97,-,0.5,0.503,1,0,0.07,-, < 0.01,1,1
protein localization to endoplasmic reticulum exit site (GO:0070973),7,2,4.19,-,0.48,0.498,1,1,2.51,-,0.4,0.69,1,2,3.97,-,0.5,0.503,1,0,0.07,-, < 0.01,1,1
histone H3-K9 demethylation (GO:0033169),7,2,4.19,-,0.48,0.498,1,1,2.51,-,0.4,0.69,1,4,3.97,+,1.01,1,1,0,0.07,-, < 0.01,1,1
regulation of RNA interference (GO:1900368),7,2,4.19,-,0.48,0.498,1,0,2.51,-, < 0.01,0.201,1,2,3.97,-,0.5,0.503,1,0,0.07,-, < 0.01,1,1
double-strand break repair via synthesis-dependent strand annealing (GO:0045003),7,2,4.19,-,0.48,0.498,1,2,2.51,-,0.8,1,1,3,3.97,-,0.76,1,1,0,0.07,-, < 0.01,1,1
negative regulation of protein acetylation (GO:1901984),7,2,4.19,-,0.48,0.498,1,0,2.51,-, < 0.01,0.201,1,2,3.97,-,0.5,0.503,1,0,0.07,-, < 0.01,1,1
folic acid metabolic process (GO:0046655),7,2,4.19,-,0.48,0.498,1,2,2.51,-,0.8,1,1,4,3.97,+,1.01,1,1,1,0.07,+,14.22,0.0769,1
histone H3-K9 methylation (GO:0051567),7,2,4.19,-,0.48,0.498,1,2,2.51,-,0.8,1,1,2,3.97,-,0.5,0.503,1,0,0.07,-, < 0.01,1,1
negative regulation of histone acetylation (GO:0035067),7,2,4.19,-,0.48,0.498,1,0,2.51,-, < 0.01,0.201,1,2,3.97,-,0.5,0.503,1,0,0.07,-, < 0.01,1,1
non-recombinational repair (GO:0000726),14,4,8.37,-,0.48,0.228,1,2,5.02,-,0.4,0.266,1,3,7.94,-,0.38,0.134,1,0,0.14,-, < 0.01,1,1
regulation of vacuole organization (GO:0044088),7,2,4.19,-,0.48,0.498,1,1,2.51,-,0.4,0.69,1,5,3.97,+,1.26,0.767,1,1,0.07,+,14.22,0.0769,1
vesicle fusion with Golgi apparatus (GO:0048280),7,2,4.19,-,0.48,0.498,1,1,2.51,-,0.4,0.69,1,1,3.97,-,0.25,0.272,1,0,0.07,-, < 0.01,1,1
spliceosomal complex assembly (GO:0000245),18,5,10.76,-,0.46,0.136,1,3,6.46,-,0.46,0.32,1,5,10.2,-,0.49,0.193,1,0,0.18,-, < 0.01,1,1
negative regulation of seed germination (GO:0010187),18,5,10.76,-,0.46,0.136,1,4,6.46,-,0.62,0.475,1,7,10.2,-,0.69,0.533,1,0,0.18,-, < 0.01,1,1
inositol lipid-mediated signaling (GO:0048017),11,3,6.58,-,0.46,0.276,1,1,3.94,-,0.25,0.203,1,5,6.24,-,0.8,0.799,1,0,0.11,-, < 0.01,1,1
arginine biosynthetic process (GO:0006526),11,3,6.58,-,0.46,0.276,1,2,3.94,-,0.51,0.534,1,4,6.24,-,0.64,0.594,1,0,0.11,-, < 0.01,1,1
regulation of peptidyl-lysine acetylation (GO:2000756),11,3,6.58,-,0.46,0.276,1,1,3.94,-,0.25,0.203,1,5,6.24,-,0.8,0.799,1,0,0.11,-, < 0.01,1,1
tracheary element differentiation (GO:1905177),11,3,6.58,-,0.46,0.276,1,2,3.94,-,0.51,0.534,1,4,6.24,-,0.64,0.594,1,0,0.11,-, < 0.01,1,1
regulation of protein acetylation (GO:1901983),11,3,6.58,-,0.46,0.276,1,1,3.94,-,0.25,0.203,1,5,6.24,-,0.8,0.799,1,0,0.11,-, < 0.01,1,1
regulation of histone acetylation (GO:0035065),11,3,6.58,-,0.46,0.276,1,1,3.94,-,0.25,0.203,1,5,6.24,-,0.8,0.799,1,0,0.11,-, < 0.01,1,1
cotyledon vascular tissue pattern formation (GO:0010588),11,3,6.58,-,0.46,0.276,1,1,3.94,-,0.25,0.203,1,3,6.24,-,0.48,0.404,1,0,0.11,-, < 0.01,1,1
double-strand break repair via break-induced replication (GO:0000727),11,3,6.58,-,0.46,0.276,1,2,3.94,-,0.51,0.534,1,1,6.24,-,0.16,0.0669,1,0,0.11,-, < 0.01,1,1
meiotic chromosome segregation (GO:0045132),48,13,28.7,-,0.45,0.0111,1,7,17.21,-,0.41,0.0208,1,14,27.21,-,0.51,0.0247,1,0,0.48,-, < 0.01,1,1
phosphatidylinositol metabolic process (GO:0046488),63,17,37.67,-,0.45,0.00244,0.997,14,22.59,-,0.62,0.119,1,18,35.71,-,0.5,0.0103,0.755,1,0.63,+,1.58,0.473,1
meiosis I cell cycle process (GO:0061982),60,15,35.88,-,0.42,0.00169,0.878,10,21.52,-,0.46,0.0204,1,17,34.01,-,0.5,0.00889,0.757,0,0.6,-, < 0.01,1,1
chloride transport (GO:0006821),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,0,2.27,-, < 0.01,0.304,1,0,0.04,-, < 0.01,1,1
primary meristem tissue development (GO:0010065),8,2,4.78,-,0.42,0.339,1,1,2.87,-,0.35,0.461,1,3,4.53,-,0.66,0.756,1,0,0.08,-, < 0.01,1,1
circumnutation (GO:0010031),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
spliceosomal tri-snRNP complex assembly (GO:0000244),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,0,2.27,-, < 0.01,0.304,1,0,0.04,-, < 0.01,1,1
meiotic spindle organization (GO:0000212),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,0,2.27,-, < 0.01,0.304,1,0,0.04,-, < 0.01,1,1
female gamete generation (GO:0007292),8,2,4.78,-,0.42,0.339,1,1,2.87,-,0.35,0.461,1,2,4.53,-,0.44,0.346,1,0,0.08,-, < 0.01,1,1
"vesicle targeting, to, from or within Golgi (GO:0048199)",4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
cellular response to nitric oxide (GO:0071732),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
mitotic DNA replication initiation (GO:1902975),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,0,2.27,-, < 0.01,0.304,1,0,0.04,-, < 0.01,1,1
Mo-molybdopterin cofactor biosynthetic process (GO:0006777),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
gibberellin catabolic process (GO:0045487),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
telomere maintenance in response to DNA damage (GO:0043247),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
single strand break repair (GO:0000012),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,0,2.27,-, < 0.01,0.304,1,0,0.04,-, < 0.01,1,1
mitochondrial genome maintenance (GO:0000002),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
metaphase/anaphase transition of mitotic cell cycle (GO:0007091),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
positive regulation of microtubule polymerization (GO:0031116),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
microtubule nucleation (GO:0007020),8,2,4.78,-,0.42,0.339,1,1,2.87,-,0.35,0.461,1,1,4.53,-,0.22,0.17,1,0,0.08,-, < 0.01,1,1
drug transport (GO:0015893),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,1,0.04,+,24.89,0.0488,1
triose phosphate transmembrane transport (GO:0035436),4,1,2.39,-,0.42,0.657,1,2,1.43,+,1.39,0.658,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
negative regulation of cellular amine metabolic process (GO:0033239),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
metaphase/anaphase transition of cell cycle (GO:0044784),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
cellular response to gamma radiation (GO:0071480),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
negative regulation of reciprocal meiotic recombination (GO:0045128),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
triose phosphate transport (GO:0015717),4,1,2.39,-,0.42,0.657,1,2,1.43,+,1.39,0.658,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
mannosylation (GO:0097502),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
chromosome localization (GO:0050000),8,2,4.78,-,0.42,0.339,1,1,2.87,-,0.35,0.461,1,3,4.53,-,0.66,0.756,1,0,0.08,-, < 0.01,1,1
adenosine to inosine editing (GO:0006382),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
mRNA splice site selection (GO:0006376),8,2,4.78,-,0.42,0.339,1,2,2.87,-,0.7,1,1,2,4.53,-,0.44,0.346,1,0,0.08,-, < 0.01,1,1
diterpenoid catabolic process (GO:0016103),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
heterochromatin organization involved in chromatin silencing (GO:0070868),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
heterochromatin maintenance (GO:0070829),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
regulation of membrane potential (GO:0042391),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
positive regulation of ion transmembrane transport (GO:0034767),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
actin filament capping (GO:0051693),4,1,2.39,-,0.42,0.657,1,0,1.43,-, < 0.01,0.579,1,2,2.27,-,0.88,1,1,0,0.04,-, < 0.01,1,1
regulation of histone H3-K27 trimethylation (GO:1902464),4,1,2.39,-,0.42,0.657,1,1,1.43,-,0.7,1,1,1,2.27,-,0.44,0.66,1,0,0.04,-, < 0.01,1,1
