GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
positive regulation of telomere maintenance (GO:0032206),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
kinetochore organization (GO:0051383),4,0,2.39,-, < 0.01,0.304,1,0,1.25,-, < 0.01,0.579,1,0,0.77,-, < 0.01,1,1,1,1.19,-,0.84,1,1
positive regulation of telomere maintenance via telomere lengthening (GO:1904358),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
kinetochore assembly (GO:0051382),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
positive regulation of mitotic recombination (GO:0045951),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of cell fate commitment (GO:0010454),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
inflorescence meristem growth (GO:0010450),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of ligase activity (GO:0051351),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
bract formation (GO:0010434),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
bract morphogenesis (GO:0010433),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
bract development (GO:0010432),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of protein deubiquitination (GO:0090085),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of ligase activity (GO:0051340),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
histone H3-K9 deacetylation (GO:1990619),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
meiotic G2 phase (GO:0051331),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
mitochondrial DNA inheritance (GO:0033955),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of microtubule nucleation (GO:0090063),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
meiotic interphase (GO:0051328),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)",1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of organelle assembly (GO:1902117),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
extensin metabolic process (GO:0010409),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
classical arabinogalactan protein metabolic process (GO:0010406),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
pectic galactan metabolic process (GO:0010401),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
rhamnogalacturonan I side chain metabolic process (GO:0010400),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
root radial pattern formation (GO:0090057),4,0,2.39,-, < 0.01,0.304,1,0,1.25,-, < 0.01,0.579,1,0,0.77,-, < 0.01,1,1,0,1.19,-, < 0.01,0.58,1
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),4,0,2.39,-, < 0.01,0.304,1,0,1.25,-, < 0.01,0.579,1,0,0.77,-, < 0.01,1,1,1,1.19,-,0.84,1,1
metaphase plate congression (GO:0051310),4,0,2.39,-, < 0.01,0.304,1,0,1.25,-, < 0.01,0.579,1,0,0.77,-, < 0.01,1,1,1,1.19,-,0.84,1,1
chromosome movement towards spindle pole (GO:0051305),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)",1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)",2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
negative regulation of plant epidermal cell differentiation (GO:1903889),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
palisade mesophyll development (GO:1903866),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
auxin catabolic process (GO:0009852),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
urate catabolic process (GO:0019628),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
iron coordination entity transport (GO:1901678),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
D-galacturonate metabolic process (GO:0046396),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
establishment of anatomical structure orientation (GO:0048560),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cellular response to peptide (GO:1901653),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
establishment of floral organ orientation (GO:0048559),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of cellular protein localization (GO:1903828),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
L-arabinose metabolic process (GO:0046373),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of chromosome condensation (GO:0060623),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
galactose biosynthetic process (GO:0046369),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to copper ion starvation (GO:0120126),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
protein localization to cell surface (GO:0034394),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of viral process (GO:0048524),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
diacylglycerol catabolic process (GO:0046340),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of synapse structure or activity (GO:0050803),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"transposition, RNA-mediated (GO:0032197)",1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
transposition (GO:0032196),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
eukaryotic translation initiation factor 4F complex assembly (GO:0097010),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
protein-containing complex remodeling (GO:0034367),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
energy homeostasis (GO:0097009),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cell junction assembly (GO:0034329),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
meiosis II cell cycle phase (GO:0098765),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
meiosis I cell cycle phase (GO:0098764),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
meiotic cell cycle phase (GO:0098762),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of transcription by RNA polymerase V (GO:1904281),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of histone H3-K27 methylation (GO:0061086),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of transcription by RNA polymerase V (GO:1904279),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of sister chromatid cohesion (GO:0045876),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
meiotic centromere clustering (GO:1990571),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cell dedifferentiation (GO:0043697),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dedifferentiation (GO:0043696),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of TORC1 signaling (GO:1904263),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
guard cell fate commitment (GO:0010377),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of DNA-dependent DNA replication (GO:2000105),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
L-glutamate import across plasma membrane (GO:0098712),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to non-ionic osmotic stress (GO:0010335),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
nucleoside bisphosphate catabolic process (GO:0033869),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
snRNA import into nucleus (GO:0061015),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
mitotic DNA replication maintenance of fidelity (GO:1990505),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of endocytosis (GO:0045806),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
histone H3-K4 trimethylation (GO:0080182),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
mannitol metabolic process (GO:0019594),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
mannitol biosynthetic process (GO:0019593),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
lipopolysaccharide-mediated signaling pathway (GO:0031663),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of toxin transport (GO:1902009),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of toxin transport (GO:1902007),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of carbohydrate utilization (GO:0043610),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
negative regulation of proline biosynthetic process (GO:1902006),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of proline biosynthetic process (GO:1902005),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of nitric oxide metabolic process (GO:0080164),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
sucrose induced translational repression (GO:0080149),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
receptor internalization (GO:0031623),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of lipid localization (GO:1905953),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
establishment of petal orientation (GO:0048498),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"negative regulation of DNA-templated transcription, termination (GO:0060567)",1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
seed growth (GO:0080112),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of cell fate determination (GO:1905933),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
trivalent inorganic cation transport (GO:0072512),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
replication fork protection (GO:0048478),5,0,2.99,-, < 0.01,0.165,1,1,1.56,-,0.64,1,1,0,0.96,-, < 0.01,1,1,0,1.49,-, < 0.01,0.596,1
response to benomyl (GO:1901561),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
flower calyx development (GO:0048464),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
flower structural organization (GO:0048461),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
floral whorl morphogenesis (GO:0048457),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
sepal formation (GO:0048453),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
sepal morphogenesis (GO:0048447),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
sepal development (GO:0048442),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
flower morphogenesis (GO:0048439),4,0,2.39,-, < 0.01,0.304,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,0,1.19,-, < 0.01,0.58,1
positive regulation of production of siRNA involved in RNA interference (GO:1903705),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
microtubule-based transport (GO:0099111),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
response to maltose (GO:0034286),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of nuclease activity (GO:0032074),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cyanide biosynthetic process (GO:0046202),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
snoRNA splicing (GO:0034247),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of nuclease activity (GO:0032069),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of translation in response to stress (GO:0032055),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cardiolipin biosynthetic process (GO:0032049),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
cardiolipin metabolic process (GO:0032048),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
mitochondrial DNA metabolic process (GO:0032042),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of G1/S transition of mitotic cell cycle (GO:2000045),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of double-strand break repair via homologous recombination (GO:2000042),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of chromatin assembly or disassembly (GO:0045799),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of pyruvate dehydrogenase activity (GO:1904183),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of pyruvate dehydrogenase activity (GO:1904182),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
glycolipid translocation (GO:0034203),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of immune effector process (GO:0002698),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of protein localization to cell surface (GO:2000009),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of protein localization to cell surface (GO:2000008),3,0,1.79,-, < 0.01,0.297,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
megasporocyte differentiation (GO:1904159),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of DNA damage checkpoint (GO:2000001),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cellular stress response to acidic pH (GO:1990451),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
nectary development (GO:0010254),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
ent-kaurene oxidation to kaurenoic acid (GO:0010241),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of DNA repair (GO:0045738),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)",1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
anther wall tapetum cell fate specification (GO:0010234),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
miRNA transport (GO:1990428),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
mitotic recombination-dependent replication fork processing (GO:1990426),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
snoRNA guided rRNA pseudouridine synthesis (GO:0000454),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to lithium ion (GO:0010226),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)",1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
non-photoreactive DNA repair (GO:0010213),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
G2 DNA damage checkpoint (GO:0031572),4,0,2.39,-, < 0.01,0.304,1,0,1.25,-, < 0.01,0.579,1,0,0.77,-, < 0.01,1,1,0,1.19,-, < 0.01,0.58,1
RNA import into mitochondrion (GO:0035927),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to very low fluence red light stimulus (GO:0010203),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to low fluence red light stimulus (GO:0010202),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"regulation of DNA-templated transcription, termination (GO:0031554)",1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of anthocyanin biosynthetic process (GO:0031542),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
sepal vascular tissue pattern formation (GO:0080057),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
