




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
negative regulation of MAPK cascade (GO:0043409)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of MAPK cascade (GO:0043408)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of MAP kinase activity (GO:0043407)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of MAP kinase activity (GO:0043406)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of MAP kinase activity (GO:0043405)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid catabolic process (GO:0019377)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	29	0	.37	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
epoxygenase P450 pathway (GO:0019373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
kynurenine metabolic process (GO:0070189)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoxygenase pathway (GO:0019372)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-serine acetylation (GO:0017198)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-methionine acetylation (GO:0017196)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of biotic stimulus (GO:0009595)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of nutrient (GO:0009594)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus (GO:0009593)	17	0	.22	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of heterochromatin assembly (GO:0031445)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of gravity (GO:0009590)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to oxygen radical (GO:0000305)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to singlet oxygen (GO:0000304)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA 3'-end processing (GO:0031441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA 3'-end processing (GO:0031440)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to superoxide (GO:0000303)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
retrograde transport, vesicle recycling within Golgi (GO:0000301)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of exonuclease activity (GO:1905778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
arachidonic acid metabolic process (GO:0019369)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of exonuclease activity (GO:1905777)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, unsaturated fatty acid (GO:0019368)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA helicase activity (GO:1905775)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, saturated fatty acid (GO:0019367)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA helicase activity (GO:1905774)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-T3 phosphorylation (GO:0072355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide salvage (GO:0019365)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide catabolic process (GO:0019364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide biosynthetic process (GO:0019363)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
D-serine biosynthetic process (GO:0070179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane protein proteolysis (GO:0033619)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid biosynthetic process (GO:0072351)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
D-serine metabolic process (GO:0070178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid metabolic process (GO:0072350)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase (GO:0017186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
chloroplast proton-transporting ATP synthase complex assembly (GO:0033614)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-diphthamide metabolic process (GO:0017182)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
red, far-red light phototransduction (GO:0009585)	16	0	.21	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
oxalate catabolic process (GO:0033611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of visible light (GO:0009584)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of light stimulus (GO:0009583)	18	0	.23	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of abiotic stimulus (GO:0009582)	23	0	.30	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of external stimulus (GO:0009581)	23	0	.30	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide biosynthetic process (GO:0019359)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur compound transport (GO:0072348)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide biosynthetic process from aspartate (GO:0019355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
rescue of stalled ribosome (GO:0072344)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
siroheme biosynthetic process (GO:0019354)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
oxalate metabolic process (GO:0033609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATP metabolic process (GO:1903580)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
polycistronic mRNA processing (GO:0031426)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
chloroplast RNA processing (GO:0031425)	20	0	.26	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
dolichol metabolic process (GO:0019348)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
modified amino acid transport (GO:0072337)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
transsulfuration (GO:0019346)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-galactose transmembrane transport (GO:0072334)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process (GO:0019344)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ATP metabolic process (GO:1903578)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process via cystathionine (GO:0019343)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial seryl-tRNA aminoacylation (GO:0070158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
double fertilization forming a zygote and endosperm (GO:0009567)	20	0	.26	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
fertilization (GO:0009566)	20	0	.26	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial glycyl-tRNA aminoacylation (GO:0070150)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
megagametogenesis (GO:0009561)	45	0	.58	-	 < 0.01	1.00E00	1.00E00	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
embryo sac egg cell differentiation (GO:0009560)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound catabolic process (GO:0019336)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated protein transport (GO:0072321)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of exocytosis (GO:0017157)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
embryo sac central cell differentiation (GO:0009559)	22	0	.28	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
embryo sac cellularization (GO:0009558)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
antipodal cell differentiation (GO:0009557)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to UV-A (GO:0070141)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
oxylipin biosynthetic process (GO:0031408)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
oxylipin metabolic process (GO:0031407)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
megasporogenesis (GO:0009554)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
embryo sac development (GO:0009553)	99	0	1.28	-	 < 0.01	6.40E-01	1.00E00	0	.32	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion transmembrane transport (GO:1901381)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein modification process (GO:0031401)	39	0	.50	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein modification process (GO:0031400)	23	0	.30	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
vesicle uncoating (GO:0072319)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin coat disassembly (GO:0072318)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrotoluene metabolic process (GO:0019326)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
sequestering of actin monomers (GO:0042989)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose catabolic process (GO:0019323)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose biosynthetic process (GO:0019322)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose metabolic process (GO:0019321)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation (GO:0017148)	22	0	.28	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
organelle fusion (GO:0048284)	53	0	.69	-	 < 0.01	1.00E00	1.00E00	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
hexose catabolic process (GO:0019320)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
indeterminate inflorescence morphogenesis (GO:0048283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
stem cell division (GO:0017145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
inflorescence morphogenesis (GO:0048281)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle fusion with Golgi apparatus (GO:0048280)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of apoptotic process (GO:0042981)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial translation (GO:0070131)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to ammonium ion (GO:0060359)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leaf morphogenesis (GO:1901371)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose biosynthetic process (GO:0019319)	21	0	.27	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
hexose metabolic process (GO:0019318)	54	0	.70	-	 < 0.01	1.00E00	1.00E00	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to aldehyde (GO:0110096)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule end (GO:1905725)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of aldehyde (GO:0110095)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle docking (GO:0048278)	29	0	.37	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial translation (GO:0070129)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol catabolic process (GO:0019310)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial translational elongation (GO:0070125)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine biosynthetic process (GO:0046099)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine metabolic process (GO:0046098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular localization (GO:0060341)	27	0	.35	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol phosphorylation (GO:0052746)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
dTDP-rhamnose biosynthetic process (GO:0019305)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin coat assembly (GO:0048268)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
D-ribose catabolic process (GO:0019303)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
biotin carboxyl carrier protein biosynthetic process (GO:0042966)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
thioredoxin reduction (GO:0042964)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleologenesis (GO:0017126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
